"User";"Specific_Party";"Link";"Broad_Sector";"Support_Type"
"nickvideos";"R";"";"";""
"thecjpearson";"R";"https://cjpearson.org/";"own_page";""
"eliciawho";"R";"";"";""
"dylan.odin";"R";"";"";""
"redboyhickibilly";"R";"https://thecoldestwater.com/?ref=redboy";"other";"company"
"machooch";"R";"https://www.youtube.com/channel/UCHm9SSwuHLBZVldydStfJIw";"own_page";""
"theconservativevalues";"R";"https://linktr.ee/TheConservativeValues";"own_page";"donation"
"tophertownmusic";"R";"https://www.gofundme.com/f/jsinnmusic-car-accident-fund?utm_source=customer&utm_campaign=p_cp+share-sheet&utm_medium=copy_link_all";"other";""
"samditzhazy";"R";"https://trumpstudents.org/";"own_page";"50x"
"bodittle";"R";"";"";""
"jsinnmusic";"R";"https://www.gofundme.com/f/jsinnmusic-car-accident-fund?utm_source=customer&utm_medium=copy_link&utm_campaign=p_cf+share-flow-1";"other";""
"thebiasone";"R";"";"";""
"mommy_nikki";"R";"https://parler.com/profile/MommyNikki/posts";"own_page";""
"rheannonfae";"R";"https://www.etsy.com/shop/southernrheas";"other";"company"
"conservativehypehouse";"R";"";"";""
"o_rileyyyautoparts";"R";"";"";""
"kp.thepatriot";"R";"cash_app";"own_page";"donation"
"c.j._production";"R";"";"";""
"therepublicanhypehouse";"R";"https://todayisamerica.com/pages/rhh";"";"50x"
"donaldtrumpteam";"R";"";"";""
"republicanism";"R";"";"";""
"matt4186";"R";"";"";""
"therealbentaylor";"R";"https://7-cities-law1.mycase.com/xn39v7zs";"";"donation"
"albertojdejesus";"R";"https://www.albertojdejesus.com/";"own_donation";""
"youngrepub";"R";"";"";""
"thescoop_us";"R";"https://thescoop.us/";"";"media outlet"
"jimjrpavv";"R";"";"";""
"thebadopinion";"R";"";"";""
"realjohndennis";"R";"politician";"";"politician"
"yourcity";"R";"";"";""
"c.jennings7152822";"R";"";"";""
"patriotfacts";"R";"";"";""
"dylanmaddentv";"R";"";"";""
"frankynofingers";"R";"Venmo";"";"donation"
"lamot11";"R";"";"";""
"kindall.k";"R";"https://todayisamerica.com/";"";"50x"
"gcnow";"R";"https://teespring.com/stores/gretells-stuff";"";"merchandise"
"truthseeker5536";"R";"";"";""
"daddy_no_pc";"R";"";"";""
"daddy_no_pc2";"R";"";"";""
"megaamerican";"R";"https://www.gofundme.com/f/coast-to-coast-for-trump?utm_source=customer&utm_campaign=p_cp+share-sheet&utm_medium=copy_link_all";"";"donation"
"zc_55";"R";"https://boldeagleusa.com/";"";"merchandise"
"americanblondie";"R";"https://thecoldestwater.com/?ref=blondie";"";"company"
"thesavvytruth";"R";"https://americanpatriot702.com/";"";"merchandise"
"therightlefty";"R";"https://todayisamerica.com";"";"50x"
"christianwalk1r";"R";"";"";""
"matty.merica";"R";"";"";""
"claytonkeirns";"R";"https://linktr.ee/claytonkeirns";"";"merchandise"
"emmanuelharouno";"R";"https://linktr.ee/emmanuelharouno";"";"donation"
"the.rickytaylor";"R";"https://podcasts.apple.com/us/podcast/today-in-america/id1531825823#episodeGuid=Buzzsprout-6301975";"";""
"chadvideos";"R";"";"";""
"therepublicangirlls";"R";"https://todayisamerica.com/";"";"50x"
"imtriggered";"R";"https://secure.winred.com/georgians-for-kelly/perdue-for-senate-defend-the-majority";"";"pac"
"mattconvard";"R";"https://secure.winred.com/georgians-for-kelly/perdue-for-senate-defend-the-majority";"";"pac"
"bobs_politics";"R";"Venmo";"";"donation"
"youngrepublicans45";"R";"https://todayisamerica.com";"";"50x"
"thecadelewis";"D";"linktr.ee/cadelewis";"";"donation"
"chabella40";"D";"";"";""
"belessstupid";"D";"https://www.youtube.com/belessstupid";"";""
"the.ghost.88";"D";"https://www.patreon.com/theghost88x";"";"donation"
"imnotnatalie";"D";"linktr.ee/mkhartsoe;venmo";"";"donation"
"virtualconnectors";"D";"beyourownbailout.com";"";""
"professorross";"D";"";"";""
"save.america";"D";"";"";""
"democrat_me";"D";"";"";""
"mr.shaw7";"D";"";"";""
"docd12";"D";"";"";""
"electro_high";"D";"";"";""
"donthecon_and_associates";"D";"";"";""
"wadeslade";"D";"";"";""
"thedemhypehouse";"D";"https://demhypehouse.com/";"";""
"thatliberalgirl";"D";"linktr.ee/thatliberalgirl";"";"donation"
"leftistjayce";"D";"https://blacklivesmatters.carrd.co/";"";"donation"
"futurestatesmanalexander";"D";"https://secure.actblue.com/donate/ms_blm_homepage_2019";"";"donation"
"somepoliticaldude";"D";"";"";""
"theleewithnoname";"D";"https://linktr.ee/theleewithnoname";"";"donation"
"heathergtv";"D";"https://linktr.ee/heathergtv";"";""
"shashaankvideos";"D";"https://voteology.org/";"";""
"thehumanrightsgroup";"D";"";"";""
"maya2960";"D";"https://linktr.ee/Maya2960";"";"donation"
"theleftistdude";"D";"https://www.marxists.org/index-mobiles.htm";"";""
"kaivanshroff";"D";"https://twitter.com/kaivanshroff";"";""
"maxwellblaine";"D";"https://thecoldestwater.com/?ref=maxwell";"";"company"
"typical_democrat";"D";"";"";""
"j0emorris";"D";"https://www.youtube.com/channel/UCXBUfU3w6-v4aT_jG-Slu-g";"";""
"izuhhhhhbel";"D";"";"";""
"thealanvargas";"D";"";"";""
"spiicyboi7";"D";"https://linktr.ee/spiicyboi7";"";"donation"
"lord_timothais";"D";"https://linktr.ee/Lord_timothais";"";"merchandise"
"deerodx";"D";"https://linktr.ee/Deerodx";"";"donation"
"bidenssunglasses";"D";"";"";""
"theprogressivepolicy";"D";"https://linktr.ee/theprogressivepolicy";"";"donation"
"jbiii";"D";"https://register.rockthevote.com/registrants/new";"";""
"liberalcorner";"D";"https://issuesintheworld.carrd.co/";"";""
"yaboihatestiktok";"D";"https://linktr.ee/yaboihatestiktok";"";"merchandise"
"bidencoalition";"D";"https://www.mobilize.us/flipthewest/event/362341/";"";""
